Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
松本　京志郎,Eagles,250,内野手,1,172,72,O型,右,左,福島,1999-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
中村　和希,Eagles,250,外野手,1,173,75,A型,左,左,大阪,1995-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
西浦　颯大,Orix,480,外野手,1,178,68,A型,右,左,熊本,1999-05-21,00,0.167,2,7,6,1,0,0,1,1,0,3,0,0,0.286,0.167,0.452,0.65,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
山﨑　福也,Orix,1700,投手,4,188,88,B型,左,左,埼玉,1992-09-09,0,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,0,1,0,0,0,80,17.2,21,2,7,0,9,11,9,1.58,4.59
中島　宏之,Orix,35000,内野手,16,180,90,A型,右,右,兵庫,1982-07-31,1,0.289,77,251,225,65,5,34,0,21,3,38,1,8,0.356,0.387,0.743,4.78,4.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
白崎　浩之,Orix,1850,内野手,6,184,89,O型,右,右,北海道,1990-08-20,2,0.239,30,73,67,16,1,9,0,3,2,20,0,1,0.288,0.358,0.646,3.5,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
安達　了一,Orix,6400,内野手,7,179,78,O型,右,右,群馬,1988-01-07,3,0.219,140,514,465,102,3,41,20,25,3,64,16,8,0.261,0.277,0.538,2.3,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
福田　周平,Orix,1000,内野手,1,169,69,A型,右,左,大阪,1992-08-08,4,0.264,113,345,295,78,1,15,16,31,3,33,16,2,0.34,0.329,0.669,4,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
西野　真弘,Orix,3100,内野手,4,167,68,O型,右,左,東京,1990-08-02,5,0.293,60,207,188,55,0,16,7,12,0,28,6,5,0.333,0.378,0.711,4.25,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
宗　佑磨,Orix,650,内野手,4,181,78,B型,右,左,東京,1996-06-07,6,0.233,74,289,266,62,5,22,3,15,3,53,4,1,0.281,0.372,0.653,3.61,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
後藤　駿太,Orix,2900,外野手,8,180,83,A型,右,左,群馬,1993-03-05,8,0.216,33,43,37,8,0,4,2,3,2,12,1,0,0.31,0.216,0.526,2.53,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ロメロ,Orix,28750,外野手,2,188,100,不明,右,右,アメリカ,1988-10-17,9,0.237,119,501,443,105,25,63,7,42,10,114,0,10,0.313,0.451,0.765,4.8,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
大城　滉二,Orix,2800,内野手,3,175,75,B型,右,右,沖縄,1993-06-14,10,0.231,128,428,377,87,4,28,15,28,3,77,20,8,0.289,0.31,0.6,2.7,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
